source,target,weight
1,2,0.9999999105930331
5,6,0.9999999403953553
5,127,0.4285390614171971
6,127,0.4285390614171971
7,33,0.40029059847816806
16,27,0.5431094705164744
16,42,0.4089848534668528
16,56,0.4378865142007162
16,86,0.40009536051818234
17,44,0.6532425435639728
18,42,0.4360311588616159
28,30,0.635016154866237
29,30,0.5880961813059262
36,120,0.45417511699368573
42,56,0.42959790128453973
54,59,0.5013552298424275
54,60,0.4038201172324951
55,59,0.4015486832000623
55,60,0.574383588739557
57,58,0.9320578594060208
59,60,0.49374595403115384
60,67,0.41759743417915396
60,77,0.4311489487961312
64,67,0.46363133900343834
64,68,0.5405528499816901
64,76,0.5092372826438982
64,77,0.454210066014759
67,68,0.5270116562598589
67,69,0.4322607244753616
67,76,0.622188956682268
67,77,0.6488350415572264
68,69,0.44974678976380617
68,76,0.5570748282527632
68,77,0.4960619808687654
69,76,0.4559458828478185
69,77,0.48374565830208255
69,127,0.46872151536922646
74,79,0.47104409352530774
76,77,0.5892598673624825
89,92,0.47702526036434967
89,103,1.0000000596046448
92,103,0.47702526036434967
92,124,0.46097495771384656
94,99,0.5235227445174603
118,129,0.4805081837987092
