source,target,weight
3,176,0.43378204107284546
3,453,0.8428362016120861
3,470,0.8428361420074413
3,471,0.5823934804021984
3,507,0.4149932386710306
4,129,0.4249113499834921
4,336,0.41055389002915993
5,288,0.403783882213707
18,22,0.5148207495964463
20,180,0.7447356560755016
27,30,0.41007120397491414
27,38,0.48494822424678263
27,40,0.6480376478556793
27,41,0.5170764232557512
27,67,0.4458570810235932
27,268,0.4220439510024488
27,326,0.4034783212389973
27,465,0.4102948656236842
30,67,0.4087479598243864
30,173,0.656981071815717
35,538,0.4375885345310796
38,40,0.47203146064004586
43,231,0.5864583790146816
52,74,0.5004536662413993
54,63,0.5897465331778238
54,97,0.41811127645578317
63,97,0.41301592913673424
71,108,0.5741867959622391
74,467,0.4366996717197648
76,550,0.49547947597673425
82,83,0.6243854282395855
82,84,0.8190004392564125
82,141,0.5795945817613364
82,186,0.5795945817613364
82,246,0.5554755324506522
82,297,0.5554755771541358
82,298,0.5554755324506522
82,426,0.5135532841836981
82,454,0.5554755771541358
82,537,0.5554755771541358
82,578,0.5554755771541358
83,84,0.643243606065172
83,183,0.42550669779251427
84,141,0.4888537267620469
84,186,0.4888537267620469
84,246,0.4790799657280351
84,297,0.47907999553035746
84,298,0.4790799657280351
84,426,0.43891324562004275
84,454,0.47907999553035746
84,537,0.47907999553035746
84,578,0.47907999553035746
87,107,0.4019177582537595
87,176,0.42240927920785015
87,178,0.45751325593438213
87,275,0.45751325593438213
87,445,0.4160362196050518
87,455,0.45751325593438213
88,100,0.4626981286989996
88,104,0.412098478965096
90,173,0.40994359767992933
92,495,0.42004335626678974
98,124,0.6594872904044897
100,148,0.42947829782025393
100,156,0.4129344949192707
100,171,0.44805434981973463
102,141,0.4509413583778433
102,186,0.4509413583778433
102,246,0.4582498415016226
102,297,0.4582498415016226
102,298,0.4582498415016226
102,454,0.4582498415016226
102,537,0.4582498415016226
102,578,0.4582498415016226
106,132,1.0000000596046448
106,140,0.42429872616085135
106,312,1.0
106,438,0.722993931880314
106,544,0.5458472835730518
106,583,0.447103896299724
107,127,0.6614621302911492
107,175,0.6922339008093357
107,176,0.5904070258614151
107,178,0.6169051200625031
107,192,0.6614621302911492
107,275,0.6169051200625031
107,455,0.6169051200625031
107,469,0.6614621302911492
109,460,0.502698713873208
110,115,0.9252557754516602
110,211,0.41451271126280137
110,316,0.4236491282578438
110,332,0.4446696005973638
110,339,0.4413324564758261
110,348,0.46221725190077056
110,439,0.46222377545615745
110,443,0.467140625860885
110,475,0.4411837147950645
110,493,0.44474416375927917
110,506,0.4026172954104711
115,332,0.4219495021018804
115,339,0.4226602882209738
115,348,0.4350198909083389
115,439,0.4341328812338979
115,443,0.44144613638182006
115,475,0.41558079295153577
115,493,0.4195108950214862
116,122,0.402036853246682
118,119,0.6075430462065377
120,125,0.44909240396057565
123,125,0.40094320998442984
125,234,0.4302957920484518
127,175,0.48836502239107554
127,192,1.0000001192092896
127,469,1.0000000596046448
128,228,0.4165611033182529
128,271,0.4165611033182529
128,580,0.4165611033182529
129,509,0.40009476288918155
132,140,0.42429869635852896
132,312,1.0000000596046448
132,438,0.722993931880314
132,544,0.5458473431776966
132,583,0.447103896299724
137,330,0.40044941117043276
137,440,0.42442908394634593
140,312,0.42429875596317373
141,186,1.0
141,246,0.9543314576148987
141,297,0.9543314576148987
141,298,0.9543314576148987
141,404,0.43447067385152427
141,426,0.8334224785922542
141,435,0.5976126572448727
141,454,0.9543314576148987
141,537,0.9543315172195435
141,578,0.9543314576148987
144,145,0.4578408116368864
144,148,0.4517196367975147
145,148,0.4359936352085636
163,282,0.5566640527516281
164,581,0.6615035296946137
169,565,0.4103041898933379
170,299,0.45327068715249164
175,176,0.47189256710784055
175,178,0.461387099454566
175,192,0.4883650670945591
175,275,0.461387099454566
175,455,0.461387099454566
175,469,0.4883650670945591
176,178,0.9051233232021332
176,275,0.9051233232021332
176,455,0.9051233232021332
178,275,1.0000001192092896
178,445,0.4072087685867793
178,455,1.0000001192092896
179,261,0.40010353992139897
179,489,0.41119942138349613
186,246,0.9543314576148987
186,297,0.9543314576148987
186,298,0.9543315172195435
186,404,0.43447067385152427
186,426,0.8334225978015437
186,435,0.5976125976402279
186,454,0.9543314576148987
186,537,0.9543314576148987
186,578,0.9543314576148987
187,217,0.4500497436908046
187,236,0.4235635471472367
192,469,1.0000000596046448
197,208,0.4402800872557524
197,288,0.40272840240499597
199,278,0.5386849255543087
199,300,0.454012965428161
201,252,0.47141940081735756
203,230,0.44644157672232176
203,253,0.49737346672833116
203,288,0.4540183391568146
207,221,0.6679830958195148
208,245,0.4006533770313902
208,288,0.4395639125967503
217,231,0.420309778679926
217,236,0.7016822383800175
221,261,0.44340540788738714
221,489,0.46244080684750066
228,271,1.0000000596046448
228,580,1.0000000596046448
230,288,0.4041583865425225
234,272,0.4056740128517295
234,288,0.4075044708581138
246,297,1.0
246,298,1.0
246,404,0.44146118109658805
246,426,0.7821196283458247
246,435,0.5627284130413052
246,454,1.0
246,537,1.0
246,578,1.0
250,281,0.434765620242363
257,392,0.5894538789594965
258,267,0.4084536296618549
258,278,0.43214152160505176
261,268,0.5263731998294179
261,293,0.6006065976149808
261,302,0.4890507086876658
261,343,0.4405401953517814
261,403,0.43652322097408236
261,405,0.4354309298170316
261,489,0.9756582379341125
261,585,0.52166543732878
262,464,0.43994217587609574
264,360,0.4473880047653963
268,489,0.5215670985072438
268,585,0.4245541958298168
270,460,0.41690826416015625
271,580,1.0000000596046448
275,445,0.4072087685867793
275,455,1.0000001192092896
278,300,0.47423021559783657
282,520,0.4152441087398462
283,291,0.6901235925619531
293,302,0.4488103777723531
293,489,0.5966310870177518
297,298,1.0
297,404,0.44146118109658805
297,426,0.7821196283458247
297,435,0.5627284428436276
297,454,1.0
297,537,1.0
297,578,1.0
298,404,0.44146118109658805
298,426,0.7821196283458247
298,435,0.5627284428436276
298,454,1.0
298,537,1.0
298,578,1.0
299,344,0.4226205689766717
300,388,0.41522522992021715
302,403,0.4052060927814117
302,489,0.4857870563629893
302,585,0.402353396404381
306,577,0.4622436559786666
312,438,0.722993931880314
312,544,0.5458472835730518
312,583,0.447103896299724
313,517,0.42768266507651875
316,398,0.49236433446124556
316,493,0.41448493470046477
322,367,0.4030833721756672
322,398,0.44126584371317135
322,475,0.41518935216099506
322,476,0.46332644129264094
322,498,0.40745667779464967
323,328,0.4583841499943977
330,410,0.43402899059766037
330,459,0.530333741694543
332,339,0.40896900696890626
332,341,0.40661965596526817
332,400,0.5040106288817886
332,493,0.408418840913927
334,403,0.4027051321022349
339,367,0.4131832478953869
339,493,0.47799805192895506
341,400,0.4235214595377689
343,489,0.42833063090437845
348,439,0.4572271127037594
