source,target,weight
3,23,0.5324051301023957
5,13,0.4107988099241816
7,55,0.4169580229331836
7,58,0.41924710409054233
7,59,0.4196522055343931
7,63,0.4135008924888851
7,83,0.43980054036468885
42,46,0.5610581371695187
44,57,0.40366190223649057
45,46,0.43177717465504256
47,55,0.43687784304815447
51,55,0.48635922711585594
52,53,0.5139337395584449
58,59,0.6075980583407303
59,63,0.4132298596459666
60,63,0.4039671188772576
60,76,0.49052248440309026
63,76,0.4544169225606782
63,83,0.4007049634152214
73,74,0.6573473126679615
73,76,0.40656675436511625
78,87,0.5378284633552536
82,83,0.4241298987167954
90,100,1.0000000000000007
90,101,1.0000000000000007
90,102,1.0000000000000007
100,101,1.0000000000000007
100,102,1.0000000000000007
101,102,1.0000000000000007
