source,target,weight
1,942,0.4027888364223907
7,2075,0.41129304657470833
8,3667,0.4143130351508866
8,4143,0.4323130608679723
8,6560,0.41287339887812197
9,753,0.40932089540567773
9,795,0.4097321539466451
9,5534,0.4157261892742778
10,1950,0.4778179453160205
10,7495,0.4306470118778988
11,8314,0.4532759387588932
13,95,0.5112395659008183
13,549,0.5291376500069712
16,5141,0.42640702796348995
16,5880,0.6089847905794716
17,4729,0.497435906995634
17,5193,0.4468095687084654
17,6277,0.4548528885557092
17,7093,0.40143881467429654
17,7376,0.4944582116240196
17,9596,0.4895882894245283
18,32,0.4523104701086465
19,3713,0.4012621255822819
19,6475,0.4052807783675467
20,1733,0.4031718936999217
20,8691,0.4582603016055221
21,82,0.45999444928102884
21,2729,0.40791680758642623
21,3546,0.5213872558128541
22,36,0.4148987774391293
27,3288,0.41822248885098595
27,7430,0.4282713478999618
31,7768,0.4039924018170975
31,8072,0.41402978107209176
31,8441,0.4167710701548711
32,4383,0.42203963287193913
34,2751,0.4151722826565112
34,3133,0.40137682805547326
34,3178,0.4497309475716673
34,5260,0.41946197605416546
34,8861,0.42788573032252003
39,1900,0.526277080235481
39,2350,0.843714699207555
39,6006,0.4710424295826826
39,6210,0.843714699207555
39,6461,0.8437147588121998
39,6768,0.843714699207555
39,7207,0.4744571251758039
39,9477,0.4005730909889989
40,1094,0.4014562549050145
40,1337,0.4058801189592284
43,4383,0.4000697234377613
43,4803,0.4920345338610543
43,6785,0.4282710912014498
43,9764,0.4256524731570661
43,9796,0.4378290020648126
46,2886,0.41886181880465284
46,3568,0.45068084224294086
46,3630,0.4797105031828072
46,9286,0.429422728356863
47,160,0.5110814959991613
47,531,0.42490851081640213
50,7282,0.4007736915484907
58,1967,0.4216843093291901
59,9655,0.41175457528176823
60,549,0.7641201117584434
60,2232,0.4048954664377137
61,3789,0.4788875439192194
61,5906,0.5303480170593362
64,945,0.4579180782186733
64,8411,0.41002050632628867
64,8927,0.40348482335382563
64,9100,0.40554433388395483
64,9361,0.40309611238967735
64,9560,0.4193349933098816
64,9612,0.4325028754841716
65,296,1.0
65,3566,0.42542369794341583
65,4776,0.5200925213457228
65,6316,0.4813633972384151
72,248,0.4125369736840243
72,547,0.41703786775437524
72,1650,0.41170906167753046
72,1735,0.4025218256218666
72,2896,0.4193918939199224
72,3966,0.46582739211711366
72,5337,0.409024573025723
72,5720,0.40541544710426636
72,6033,0.4485106081743796
72,8385,0.4444252586541839
72,8502,0.4230936713887091
72,9211,0.4275114889820184
73,4451,0.4913933101053183
73,4702,1.0
73,5128,0.5017738487758816
73,5523,0.46641619525308314
75,5865,0.4076523160996376
75,6508,0.4176078586730258
75,9334,0.4296801283956511
76,5795,0.418872357002427
76,6277,0.45622222007536417
76,6753,0.4440593159388643
76,7093,0.4354313810812761
76,7376,0.420036919376927
76,9596,0.5726970224125847
79,6591,0.505229076225373
80,6041,0.40125760494910345
82,239,0.42135378299262904
82,592,0.42494635791720115
82,2090,0.4073877276888275
82,2439,0.40522667223795245
82,2729,0.4849394254276962
82,3161,0.4115013074100515
82,3308,0.4035804295916661
82,3903,0.4231954932432937
82,3920,0.4403484335719329
82,6040,0.42545447579357043
82,6655,0.4135668464945236
82,8689,0.4104980725538998
82,9500,0.4177319187210842
83,1256,0.4663318559953634
83,2655,0.4022191339054652
83,3944,0.5083040073438168
83,3971,0.41535282764557824
83,4736,0.4003174911641233
83,5385,0.4903673391245954
83,8549,0.4260469274562543
83,8793,0.4349248034920281
83,9245,0.4947854473333967
83,9307,1.0
84,257,0.5813153710822779
88,599,0.40553959930924555
88,909,0.5624266001768448
88,1282,0.42507358939519213
88,7267,0.44726500752034837
88,9201,0.5312970326431949
89,2783,0.4057071649319701
90,851,0.47063333566491844
90,1075,0.4171590055436434
90,1407,0.452321165838014
90,3606,0.4360398660641691
90,4669,0.41686936129359764
90,7339,0.4695205144260503
90,8206,0.43300030763073305
90,8740,0.4239102346204088
90,9369,0.45541641324674587
90,9611,0.4056464730646818
91,344,0.4261541282133138
95,5158,0.41837090313078706
96,1712,0.40270163504726925
96,1917,0.40928571796497315
96,5230,0.4205184580381598
98,6359,0.4203847470129859
100,3875,0.48713743003270127
100,9277,0.44390115586765344
100,9681,0.4365187509729766
100,9704,0.4365187509729766
100,9725,0.4365187509729766
100,9799,0.4476340193101578
101,309,0.73331906537678
101,1398,0.47474289579901785
101,2069,0.9999999403953552
101,4533,0.9999999403953552
101,5537,0.9999999403953552
101,5546,0.40633427721924265
101,9854,0.9999999403953552
102,110,0.4610726897200176
102,443,0.40435812924867187
102,759,0.491459644009152
102,1101,0.43549499331806907
102,1152,0.4140574058258992
102,1171,0.496802695222126
102,1194,0.40353319265692916
102,1253,0.4053453159680779
102,1770,0.41009881911529233
102,2910,0.46487611074785207
102,2938,0.411912239658629
102,3075,0.40137707956930435
102,3308,0.4154948926874398
102,3823,0.41148746749125503
102,4798,0.4008997860811025
102,8090,0.4588015652968237
102,8132,0.4050503989936228
103,384,0.4322268825621824
104,1451,0.4749923004933708
104,1494,0.5502540590550126
105,451,0.5416236331687176
105,752,0.46316723307118157
105,4946,0.40586003352218525
109,393,0.4287976818500193
109,7259,0.4902846686483418
110,759,0.44006510065976184
110,769,0.40100016650447845
110,2464,0.4050240503073974
110,2910,0.4430619697566033
110,2941,0.44228655579509235
110,3137,0.41013273973865505
110,4263,0.4542981160765426
110,4289,0.41526288927968286
110,5265,0.40056849288809554
110,5465,0.44290536375046774
110,5593,0.40643951739720274
110,8388,0.40340920817421205
110,9102,0.41703806543018224
111,152,0.4035036719182994
111,802,0.40375686372446457
111,4429,0.40035383844825045
111,4978,0.4326280520905293
111,7938,0.400188269287338
111,9575,0.4153362787652213
117,1512,0.576885962559285
120,582,0.4181747907618899
120,6765,0.5284520330412201
120,7072,0.47415773944503026
122,3875,0.42171637156672603
126,1348,0.4178864567576818
127,727,0.4240047249072364
129,318,0.42479789954769287
129,1326,0.4157364632324333
129,4957,0.4266805491205944
129,5534,0.41127196427379176
133,6267,0.407153321795253
135,1435,0.41284682044087784
135,3094,0.47469758236432413
142,3497,0.5313794223764862
142,3575,0.49092963195616834
142,4889,0.4307599621347787
142,5011,0.48334988803154755
142,5055,0.44389631970058774
