text,label,username_encoded
"Still large numbers of not only refugees, but migrants, in north Africa.

All of them are subject to labor exploitation and, also, to hunger and loss of housing.",r/libyancrisis,Z0FBQUFBQm0yeGJSNGtzUTVvY3luWHY4OU1QYVNHZUdxYWtSdmRBWmd5ODJHN05KazZ6ZzFwaVRadTNjaTR2dlBPcmpoWlRDQjZmVXhoVXpzVmhTdHg2UFliRUp5dWxzcXc9PQ==
"It just is not clear from the article if this is the current chairman ?   Or the prior at one time point ?

Also, is this a company ?  Or authority ?  Or corporation ?

Sounds pretty much like a multi - national.",r/libyancrisis,Z0FBQUFBQm0yeGJSLUhmNk1YbFg3RkoyaFI1dmZXS1J1cXBYdXlFajE5Qzc2ZDV4dmdITFU0U2hmazNmaE5sZUpEQjMwTUxqZ2hUTGI0dVdtMFhsdU5ieDNHemtJUVdITkE9PQ==
Even more complex here  -  that the Libya government got mixed up with IED s in Europe ?,r/libyancrisis,Z0FBQUFBQm0yeGJSNzNUR3I1WFBWYTgzWEV3QkVvMkRIU21hbDFZeDFUQUlVbDdfWjRPamRuaFpMMFVudHZZUzlfck1NXzFFWDM0Sks0M0NoeFFSdjBSS1AtUWotRjZEV3c9PQ==
>Political manoeuvring has intensified among factions and leaders from across Libya's fragmented political spectrum since last month's failed presidential election,r/libyancrisis,Z0FBQUFBQm0yeGJScnpGQmJkekxhaTFvQy04RzY3ajVsNkVXbWhEQnZlcEczNzJvWHZtZkNhUlBEc0V4MlVQekx0d1NiX1FPb00zWnZ6QUVLTmxkTmVsbGFsN0NVR3luTnc9PQ==
">Libya’s parliament said Monday it will name a new prime minister this week to head the transitional government, a move that will likely lead to parallel administrations in the already chaotic nation.

>Two candidates — former Interior Minister Fathi Bashaga and Minister-Counsellor Khalid al-Baibas — have submitted their bids to replace Prime Minister Abdul Hamid Dbeibah. They appeared in a parliamentary session Monday in the eastern city of Tobruk to present their plans.",r/libyancrisis,Z0FBQUFBQm0yeGJSZW9tZVVUNXRhdDR0bS1yVEdRaTk2b3dGb0RZLVBUd3VPSGNEWW02UjZsZjAtMDJocm9LeGdLd3lpcndKSFBPM1lvTndTSmRpVjlRcTlBakhBVkNXUVE9PQ==
">Bashagha and Dbeibah, both from Libya's third city Misrata and both candidates for the aborted presidential poll, have the support of rival armed groups in the west.

>Armed groups converged on Tripoli from Misrata on Saturday to support Dbeibah, an AFP journalist reported, raising fresh fears of armed conflict.

Wonder who is supporting Bashagha ?   Maybe Tobruk and parts of Benghazi.  And parts of Misrata ?  

Who is Sirte supporting  ?   Pretty much sounds like Egypt is supporting Bashagha.

Also, see attached post, looks as if maybe towns near Tunis are also supporting Bashagha ?  Or are they simply trying to cover their bets ?",r/libyancrisis,Z0FBQUFBQm0yeGJSSWxDaU45cVF2cm9rQlRFRFU3NlBPSWtQQTNWZHNrYTVrSDhoWGRSTzIwZUFkSXlPQVlnZVF1aEJISHpDcVA5Q1M1R1R4QndGcjdwR2hhRWRoQ3NGMmc9PQ==
">Libya on Thursday appointed a former interior minister as prime minister, a challenge to interim premier Abdulhamid Dbeibah’s administration.",r/libyancrisis,Z0FBQUFBQm0yeGJSWm80UUFzYkpWRTNMaHc1VWlsVjMxYjVUcEh1VW45bjhoT2Z4THg5c3ZZQlpJVFdCV3RJY1V3TXRwUDZjajBScnFLTUdpazgzQVJWcnFkQmt2U3pjLVE9PQ==
"Almost a set up for Bashagha and Dbeibah  picking sides in the current wars in Donbas, Donetsk, and Sevastopol.  

Very tough. 


Unfortunately, in a spot like this, both will have to rely on very unreliable information from the major private banks in London, New York City, and Paris.

https://news.yahoo.com/ap-interview-libyan-minister-hopes-172239389.html

Yahoo's info. on the major private banks's strategies at this juncture.",r/libyancrisis,Z0FBQUFBQm0yeGJSb1FCcEQyczN6aVRobkUwTWc0eTluZHh6WTE1NktDdURCeUlmdUpEQmM5YzNCczJUOUU0WFNwZ3JueFRDTUkzRzk1SXNwMW5nMVJ1R0VTUmZaRlJsTlE9PQ==
"Russia isn't banned from using Cluster munitions, as they did not sign the Convention on Cluster Munitions. Ukraine didn't sign up to it either. So cluster bombs aren't banned. 

However, it might be argued that using cluster bombs is a war crime, in contravention of [Rule 71](https://ihl-databases.icrc.org/customary-ihl/eng/docindex/v1_rul_rule71), if an attack was so inaccurate it was incapable of targeting a specific military target i.e. indiscriminate. 

This was the legal argument used in the [Martić Case](https://www.icty.org/en/case/martic), the attack with cluster munition on Zagreb was judged to be a war crime because it was indiscriminate.

>In terms of answering the question of whether the cluster munition in a given attack was an indiscriminate weapon, one needs to examine the specific cluster munition that was used in that particular attack. A practical example of how this has been done can be found in the ICTY’s “Martić Case”. In this case the court examined the use by Serb forces of an un-guided projectile (M-87 Orkan) containing a cluster warhead with 288 bomblets, with each bomblet containing 420 pellets of 3mm in diameter. The rocket had a maximum firing range of 50 kilometres and was designed to explode and disperse the bomblets at a height of 800-1,000 metres above the target areas. It was calculated that the weapon had been fired on Zagreb from its maximum range, which gave it a dispersion error of around 1,000 metres in any direction. The expected area of dispersion of the bomblets on the ground was about two hectares and each bomblet had a lethal range of around 10 metres. The court concluded that by virtue of the particular weapon being unguided and the fact that being fired at the maximum of its range made it incapable of hitting specific targets and therefore an indiscriminate weapon.

[https://ihl-databases.icrc.org/customary-ihl/eng/docindex/v2\\_rul\\_rule71](https://ihl-databases.icrc.org/customary-ihl/eng/docindex/v2_rul_rule71)

Lots of weapons were developed during the Cold War, designed for battles out in the open field between NATO and the Warsaw Pact. But more wars are being fought in cities and urban areas, and these weapons are not designed for urban warfare.",r/libyancrisis,Z0FBQUFBQm0yeGJScVJFR0lHUV9iN2ppd2hBLWpqajF5aU55dko5VDJQeEVIcjJwUU9USkVwcl83Q05mLU1Xa3BFbzgtVVBJZ19QZkQzTGZMTTM2X3FFNUo4T2ZhUXVLN0E9PQ==
Post in r/UkraineConflict not r/LibyanCrisis,r/libyancrisis,Z0FBQUFBQm0yeGJSOGliY2cxbXVXcUQyaFFKdVFXWFBTb0J5S3o0WFByd3J5VWFvdjFWRFRZVVdTbk5WRlMzRWxYNU8zM1p6czMtQkhhdW51OFU0OHE2LUZOakVuNFBnSFE9PQ==
"Wonder who is paying the wages of these.

Follow the money trail.",r/libyancrisis,Z0FBQUFBQm0yeGJSWTNuTFVxZEZfRjgwTE5NakJZczh6THJNdks5dk9jRVJzd2twbS1oV0xaUi1sbHh2ZDE0SEE4V1BMYUlrd3U5RDFLb01PS3ZTZmF4RFpVUG05R1BTbVE9PQ==
"Very predictable  -   once the attacks on Ukraine were scaled up, this was guaranteed to occur.

Timed exactly with the blockades in Aleppo.",r/libyancrisis,Z0FBQUFBQm0yeGJSNi0wdUN0N3BBWlI2S0V3MEd0OVhZZFZIcjVtbE9FZXNoRkRhaGs0QWdPU1hDa1Y2bkt3MVpKUTd5RnBGTXYzUmlCem5ydVR1ZVRvN3VoMGJoNVpDRkE9PQ==
"Kind of interesting.  

Especially in terms of the recent shut down of oil and gas exporting by the LNA , the R.F.,  the Wagner Group,   the UAE and Kuwait.  

Very consistent with the role of the Joe Biden and Kamala Harris factions in the Obama Administration.",r/libyancrisis,Z0FBQUFBQm0yeGJSQ21lNmE4MTR5OGotcG1ua2hQVl9aVWlpcGdjS1hXYTlDenBMT0toNjg3LWp0Y3ZBLTlxbTFGZ05rRkNhTkI3OExxbm04R3RVNHR4aEJ5aHI1N2JBTlE9PQ==
"Creepy pedophile.

He owns and loves artwork by Biljana Djurdjevic...

[https://www.bing.com/images/search?q=Biljana+Djurdjevic&form=HDRSC2&first=1&tsc=ImageHoverTitle](https://www.bing.com/images/search?q=Biljana+Djurdjevic&form=HDRSC2&first=1&tsc=ImageHoverTitle)

Anyway, aside from that stuff:

""Podesta and the Podesta Group were under federal investigation regarding compliance with the Foreign Agents Registration Act for their work for a Ukrainian group tied to the pro-Russian former Ukrainian President Viktor Yanukovych beginning in 2012. The investigation was closed in September 2019 without charges being brought.""

He's worked for Egypt, Bank of America, BP, Sudan, Saudi Arabia the list goes on. He will probably be pretty effective for the GNC",r/libyancrisis,Z0FBQUFBQm0yeGJSaHNiYmYxVWEtRUZDTWVuVTNRYm40ekxrV1l1cUZWeHZ6RmtzMDVCaU5wVFh5aFA4ZThuZExQLWd6ZnFMWE5CUkdZUnFtVGRhZ1I1T3h5VEdPUlY0OWJMRkhHWnJ0ZmZJZEUzcWZOMlFqUEE9
"Much more likely that these are from Sudan, maybe even Ethiopia, Chad, Niger, Mali, Burkina Faso, who were told that going to Ukraine would facilitate immigration into Germany, France, then the UK.

More mislead people  - with a terrible and tragic end.",r/libyancrisis,Z0FBQUFBQm0yeGJSdTJLSUhFRldzcDBYbHdTTWpXR1dFUHpndGJ4bWE0MTdFQVh2SG9KMjhiV0gzaWpFLURlWTRnRkFReHFvUzlMdFZiMHVmZjFTMkFWYjFEa2JTU1h5a0E9PQ==
">The Russians are trying to involve cadets from Libya and participants in hostilities in Syria and Chechnya in the war against Ukraine.

>According to Ukrinform, the Main Intelligence Directorate of Ukraine's Defense Ministry reported this on Telegram.

>""Students of the Mikhailovskaya Artillery Military Academy (St. Petersburg), who are undergoing internships in Libya, may soon join the occupation army. The command of the academy is taking measures to return students to the Russian Federation and involve them in hostilities against Ukraine,"" Ukrainian intelligence said.",r/libyancrisis,Z0FBQUFBQm0yeGJSREg4WkF5SHJGSDc4OXozcWp1OGhJazdzdzd0Mmx5QXJXZ3dEdjBsSWhJWFRjbTUtMkdwLW1ZSjFqWFV1M1k5MVZ4NjNwdEZRX0dla0xpZ2txU2RjYlE9PQ==
">who are undergoing internships in Libya

Internships ?

Like getting coffee and donuts ?   Or helping set up Mint Apps ?   Or making copies of publicity materials and washing whiteboards ?",r/libyancrisis,Z0FBQUFBQm0yeGJSVHRmeXh6Uk9zbEhmaFJtQnp6NFhGN0RlNWJ5TXA4T3VvVU9YcWJxbkZ1MlU2SDd5N29EdDVGa1BIVTVyWUNUTVdqYnpMMG1vaEN3NFVfS000WXZpU1E9PQ==
"Probably will be a disruptor to the local municipal government. 

Does he plan to lay claim to the local municipal revenues ?",r/libyancrisis,Z0FBQUFBQm0yeGJSNy1yQVBUcFVLaFUxeE5VZkg1QWJMckF2YWRjRk5md1h1TVp4cHlPT19tUEpST3hMdFM1RnBlVzNTbGt0NTBxYzNxNlFYOXVjV2hqOFk4VnAyT2RlbGc9PQ==
  if Dibaiba is a reliable source for getting municipal safety and public safety in Tripoli   ?,r/libyancrisis,Z0FBQUFBQm0yeGJSWW9LM3I2ZV9kc05aZl9Lb21NMXVVTmctNGswT1JiS2Z1RlBDaV9oU19zZG5PcGtSM09BOFN4QjBXelA2QUVRaUZ5U1IzbE9kLUVXYkRoRTQ5SFhLNGc9PQ==
East (LNA) vs. West (GNA) starting again?,r/libyancrisis,Z0FBQUFBQm0yeGJSb1FWUkxmZG43SVRoQ2JIaklfc2F2eWdscVdoX1ZqRURuRE42OTZOSG5NQ0U2TE5wVkxNQXVXb3k1Ml9jZ3liV011XzZWeFRXSTdJdlVjbjl2MC1LQUE9PQ==
"Not in the slightest lol.

The guy who tried to take a seat in Tripoli was the ' fighting face' of the GNA.

He's now licking Hiftars boots.

The Misratis don't seem interested in stepping in here. No matter which way it goes a Misrati will be PM, and they would rather not fight between themselves.

Bashaga relied on having local Tripoli/zawiyah militias flip and side with him, if he entered abruptly with Nawasi. That didn't happen, so he is now sitting in Sirte.",r/libyancrisis,Z0FBQUFBQm0yeGJSdTM1UGRnUXZxRGRJdjM4N3JjdlFrQ1VaNHFSVHRZTEpNWDRfX000c2k1YkhrS0d4TEhtTzlUbFlYQ2VSZFJBeUVmNWFGdWZTaHlqQlBtelNkYWNzNEE9PQ==
"A lot of local narcotics and drug gangs shooting it out for control of local trafficking routes.

The poor people of Tripoli.

Just a little better off than Acapulco or Cancun.

Those neighborhoods need a little real self - policing.",r/libyancrisis,Z0FBQUFBQm0yeGJSMEJha0U3RUhRX1l4RVVJenFDQzVIbDZ4QV83X1ptYjFsSlJoc05Od3lEWmpqeFk4TndyX3pEZU1WdS1mSi14T2FWMVN1Y3N3bW01UmJNV0trcnI5aFE9PQ==
https://abcnews.go.com/International/wireStory/concerned-libya-clashes-urges-efforts-calm-85331147,r/libyancrisis,Z0FBQUFBQm0yeGJSc1JiQ3VYTHpkRlFVbmR0R0VyWmNDOHdlWVFLMW1ES2pESS1iZGRkcndmYU5Oei1LV2haUF8yZ0R4WUhPb0Zwcll5ZkNuWTMzUlNtdjFBMjN2U2VxbUE9PQ==
" >When the shooting began this month at Souk al-Thulatha park near Tripoli's historic centre, families were enjoying the cool sea breeze as a weekend night brought relief from a hot summer day.",r/libyancrisis,Z0FBQUFBQm0yeGJSbjdYNElndmd3X1diQmFMUDQ5Q2p4SEMzRmE0MTBVc3o3ZWpJb0YyVWQ2UDQ1RFY0eFFPcGVwN0tMSG1hSEdPTzFtOVFDZkdNUU1kaTZIeGd1eVF3Wmc9PQ==
