text,label,username_encoded
"I like that! An answer to your question, a lot of the time they have a type of honeycomb, traingle structures made of rigid rubber inside the wheel. Thank you for being the first person to ever post here too! You have earned the tag ""O.G."" Congrats!",r/militarytechnology,Z0FBQUFBQm0yeGJSUEVnTnZXUEpPNDJ4dmR5anlYMHBDS2dES0tMQmxwaW94U2I4a3BiRXIzTjVVd2JwWXFSVnE4R2pBNlZ2WW9aRmZLN0dhb0g2MHFJakZncm93YmVGV1E9PQ==
"Then i assume it is more rational by properties balance, than full-solid wheels . I was thinking a filled/{full-solid} wheel would be the best, but nothing confirms this to be the case .

But i feel like such wheels wouldn't be the best choice for durability after damage: because they need to withstand high-velocity force redistribution and light jumps for 30+ minutes, including a possible cost factor; Can you mention any specific vehicles which use them ?

A guy on Canadian forum also said they use Runflats (3rd option) . Some article says that M1126 Stryker uses Runflats . And press publications say M-ATV uses ""runflat system"" but idk if they mean the same or just a capability .",r/militarytechnology,Z0FBQUFBQm0yeGJSeV9TUXZSZTdnSi1BLVd1ekplMm1JelFfMmxEZVlSa1MtX1QyRzVfSUlVU3Zod2lDWEx2WVMwTHB5am45dWViSDh1Ty1tcHF2NkJNLWxvY0NlS0NGamc9PQ==
"Seems that SuperAV and the most of vehicles in use by US, use Hutchinson's Variable Function Insert ""VFI"" Runflats .",r/militarytechnology,Z0FBQUFBQm0yeGJSNXZIQUxpVzh6R0s2Nnphck8yaE1Gakp3ZlFKcU5fdlF1T3JjczgwTEFGdzktYWVrSTNNd0czeGJBSnR3Z3U4QTVMS2k2MXVldUV5eGtGNlAzaUJEYlE9PQ==
"[https://www.youtube.com/watch?v=2wAvxQfusWU](https://www.youtube.com/watch?v=2wAvxQfusWU) < Military honeycomb tire test, Humvee. The bounciness of the tire can even create a sort of mini suspension! I can't find info on whether it's being used yet. But I know for a fact the U.S. Militia has interest in it",r/militarytechnology,Z0FBQUFBQm0yeGJSRG9BQmhud3FzY2NSdFQ0LTJNa042MXdsZ3pzZ3NzVUtXQUdLb2J5U0VBakx0MGVQcmJUclRFUFBobFUybXdwdG1aNGlScGgwZzFCSDF1RzBLUXV2MUE9PQ==
"Once this sub gets big enough, should I make a discord server for it? LMK!",r/militarytechnology,Z0FBQUFBQm0yeGJSWjRTMFJXWVpUWVBTWjRfbk11MUFtUnVOVkcxZUN3RnExLWFTZTk1QzRkbERYMVVObGJOMmtkODVjRC1rZGNFYzRvMVJDTU44b0llZVdmVVBxUUJ2WWc9PQ==
"I think for it to be usable, reliable, compact, and powerful, it would take around 25 years...",r/militarytechnology,Z0FBQUFBQm0yeGJSTGhUV0c1Yk1TSm1iRldHeGZwMTRTZ2lpS0l4bC13aFJhem5ibHhic0M3bmtSQV9zMmNBZmlPYkVVZ3NFc3R3Z1BiVlN5aTlhaWswWUcydUdITG1vc3c9PQ==
Yes 100%,r/militarytechnology,Z0FBQUFBQm0yeGJSemx1djJxQzdEVXJROHFSRXZsZFo2NDV3YW5XMTlfMzdYcEFoWmxPRGgzdGtvV25sVnU1YU5Uc3hFdXktemgxQ1FJTlBiNEFTNnNlWF9JM2lZVU5XWGc9PQ==
Ok thx,r/militarytechnology,Z0FBQUFBQm0yeGJSaVBlZzlVbUJWZkE0TlFiX2dESHp5bEU2SUlZbDQ0UVhTdWR5WDBIdUVKMEd1X0pDX0Z6X09VMjF1R1lWMUJ5VWV0T0pXc2oxMnEzamRjQXBhbkxSMlE9PQ==
Awesome post man! This is a cool missile indeed!,r/militarytechnology,Z0FBQUFBQm0yeGJScVNzSHZPN3JxVVBFck5mbFNNMnZfTnlVU0NEV3YzdlBLWW01S0VTeGp2c1h3N19nQ2t5Z2c3Zm5Td2MzeW0waVlYUGtIM1dlMjN1bHlGUWp3VHc4R1E9PQ==
"Maybe, there is a possible comeback of some kind of downsized ""battleship"" as smart munitions are popping up, the Zumwalt class was intended to use two cannons with smart munitions as primary I think but we probably won't need huge guns anymore, 155mm is probably enough",r/militarytechnology,Z0FBQUFBQm0yeGJSeHdDYUVmVTVFb05oSzBnRHh6VDc2MGhTZ25DQ3QwckJmVFZfbzQyTVllNDZKZHdERnZvZ0pQdU9TNGRva2VXMmk5SFVldVA4YmRRQlJRR2dMa0ItUEE9PQ==
"In space, energy weapons have a good advantage as there is no atmosphere to duck up with the light of lasers for example, but projectiles will always be useful in ways that energy weapons can't, for example, if I have a military base inside a mirrored dome that reflects a good portion of all kinds of light + permanently sorrounded by a man made cloud of ""smoke"" and with a strong magnetic field shield, you can't use almost any kind of energy weapon to attack it, but physical projectiles will have no problem",r/militarytechnology,Z0FBQUFBQm0yeGJSNkJDb3dzUG1FQUlaR0hYM0tKTEc2VXRmRlhHa2xGMzV5dFltcjdSYVBpbjg3Yi1MdGxiWEJIdzFNVm5sbFZBNHZhdVB6VHkxY19lbXhoeWpYeEpzb2c9PQ==
"I think it sounds pretty cool, my concern is that the results of it backfiring could be devastating",r/militarytechnology,Z0FBQUFBQm0yeGJSaVJsbGc1U1l1R2F2QUtKUExIZGc3R0tsZ1BzZy1uTnM1MkVWdHpBT3RJWGhwel81YnZ1TTl2MDlfZEF1bDlobU9qNVpwUmJ6MnhJQ3QyOWVkTDE1ZEE9PQ==
can i share my military technology builds also please?,r/militarytechnology,Z0FBQUFBQm0yeGJSaVlBZUV0cnNRVFZXUFBSTTBOaXl2U1pHR0p2cVAwVDJtQUhmYWZGMm5iUmN6c2xNN0l6aExpV3hsOXBiWlhMZzN4Q0xwYWtvWGJJN2hIZnV6ZzBHTEE9PQ==
