text,label,username_encoded
"It’s not enough for a function to just be reentrant (e.g. using thread local, static variables) because a signal can interrupt the function while it’s running e.g. lets assume syslog() was implemented with a 4kiB thread-local buffer for formatting the string and a signal arrived while syslog() is executing unless the signal is masked it will interrupt the thread.",r/netsec,Z0FBQUFBQm0yeGNHVXZkR0VrVFEwYnRzenpUUjY3OV9RaGhDdl93R0hwZERidkM5ZXBrSlByNzZ4dXNBWVhMOGRrQlNxZVpjLWI3bEVuQ2tCS1FQNmpBT3dXRGVzUGMzS29OcGt6cnlaRzBzeGdXWURkcFdxd0U9
"The submission doesn't seem technical enough for this sub, but might be a good fit for other places like /r/hacking.",r/netsec,Z0FBQUFBQm0yeGNHSWhubGgzZlc3eUp6Qm84ZFJIQk1scWV1VDZfRmlET19RU0txSzBaSDgya1B0WnFBWTdxbDRFaTBtS0xscG00dGxiMExiMElraURxZy1UYkZsSzZ2bkE9PQ==
"The submission doesn't seem technical enough for this sub, but might be a good fit for other places like /r/hacking.",r/netsec,Z0FBQUFBQm0yeGNHYXJVaGZLbmh2cy1laDFISFRUcDdJR19Qek9BZDlMWWg5b0pYUnVpaGxpQzF1V3BUUC0yaEtOTXFHM2ViWkJCS0VxeEVUMUlOSTRweEpuZm03TGRTekE9PQ==
"Hello, I know this is really old, but I am having trouble running the new wireguard mode.  
I run
```mitmweb --mode wireguard```
it opens the web interface, and I copy and paste the wireguard configuartion to a .conf file, send it to my phone on the same wifi, and add it to my wireguard client, I connect and... Nothing loads, not even mitm.it. I tried overriding the DNS to the one spesified and no luck... what could I be doing wrong?

Host: 
MacBook Air
13-inch, M3, 2024
14.5 (23F79)

Client:
iPhone 14 Pro
17.5.1
Passepartout (WireGuard Client)",r/netsec,Z0FBQUFBQm0yeGNHdUh0UE0xdGNEWF9KTUZiWkJfYXZNbkZ0d2ZWTDBPNkFkYjZlY1VvR2ZSbEJEQ25PYWU4UjdOZk83MmgxNlE3MEQzUkEwOFF4cW8xazZ4b1UwQndPeHc9PQ==
"If you peer with an org that does this to you, and you don't have prefix limits in place, you have to wonder what's wrong with you.",r/netsec,Z0FBQUFBQm0yeGNHVl93UGNSd3hMZFlGYUIyalJ1NUZqZk1PdVppaWdvdl96eU1mNGdZQkM2eXhqaDF5Mks4aTBndXVCclo1NF9Ga0ZPM0tmbVBYN1BJbEozUDBiYnplQ3c9PQ==
Thank you for that insight. I appreciate it!,r/netsec,Z0FBQUFBQm0yeGNHU1BvYVFqU284OExJdDZKbHQ0SGlXWTN2MXFvTWN5eGh3dlJWR2U1aEdpWkhrSENqYk11VXdQZUpzWEJCR09uUzhUY1J6eXR4RjJPdUt6WDBvak1YNlNpWlZCMHZ6elphcnVWQmgwN2ZLQjQ9
"2006 called, they want their bugs back",r/netsec,Z0FBQUFBQm0yeGNHd3RvNVZhNElPTHRncWZZeHJJV3dlM3FISGNRWFl4T0I2b0V1M0lYdnQ1V2haWlZpeHYtU0FJNW5jR2RYc3VPZVVSb2NVdzlvemtibnotak1CSVRQMFE9PQ==
"u removed a post with 407 karma, and 6 days later ?",r/netsec,Z0FBQUFBQm0yeGNHa2dCNkVvM2ZNWUJRbTNiSGNaNExudE1NMUtRQTJTRVNKeE5lbmdMZnJHZFVoZ29fc3d5SDB0THJoRjh5OXdZRnpFSEhvVXd1VWVOckp1dU5PVmQzRnJLX1lIRFVVX3Q0RmRWMFF4bUZuQk09
This research is so niche and weird. I love it.,r/netsec,Z0FBQUFBQm0yeGNHamZXakhWc0hkY3ZUR0ItdmZhRmRHLVFxVk40bUxSRHNmZkQ4THZwTVVYVzktUTItaTd2TDVTTUZtYWdBMGVOZ2J3WDFsR3NsMG4xNTd3VnBGeGN0OWpKUW51NkQwTFZicC1la0Z3TWtwTUU9
"Tl;dr open source ""info stealer"" that looks across a variety of OS apps including browsers/databases/emails/chat apps/WiFi/etc. supporting Linux and Windows",r/netsec,Z0FBQUFBQm0yeGNHdXUtckd3S2t3NnVMMTVWMlN5YnE3UXFwRE4yOHoxRkRyQm9QRkdzaV9ZY0M0dVRKeldzVmtRX3ZjY1ZDNDhhMF9LUmZDY0NSaVZjSG83UGc0RmVzV3c9PQ==
You will need to eventually replace the cert. Signing before deadline is a stay of execution at best.,r/netsec,Z0FBQUFBQm0yeGNHRGhzcW9OSlhLSXhrUjF2RkFXQ3R5MFpRU2NRQnliVnFucVJiUmExYVF3OVN2aXY2RkdGVGE5MTRvTUlwa0Y2QXQzX3FoM2lmV3FXTF9DanNaYndrVHI2N0R3ZE9RanFMNWwyRlN6bWxaY1E9
