text,label,username_encoded
Can't open it in Germany.,r/wardocumentaries,Z0FBQUFBQm0yeGJSWUN6dlV3SVpublhXWk42aW42ank2bnRwQVdTVmhqUFhPVV9hd0ZRX3pEVzllcUE4bE02UDJManU3dXFrcEtkd0xSWm82VzFPOWlOR1FZNHg5TkNpbUE9PQ==
Kanopy has it,r/wardocumentaries,Z0FBQUFBQm0yeGJTWVlCRFZYYUdxV2ItenBybERmY3FRVHlmeGhfWVBnSGRQc2p0OG51VE8xOXhHbFd3eDF1R2trajVWSzBoV2xTSS1wVFI5SGdrTzBDUFI0NDhfdk81T3c9PQ==
Propaganda,r/wardocumentaries,Z0FBQUFBQm0yeGJTWFhTc3NDNUNGcXdDT1lUazFHLUM2MWFoSV9aeHpJWXM0XzV1QzdLYW9rRTExTWszOHBVVTlFeEIwdUhFQlpHclNQUXZ5cjFreXhyUFpaM3ZXZldpV3c9PQ==
"Weeeeeell, what a time to post it. Today is vanished...where are all the videos?",r/wardocumentaries,Z0FBQUFBQm0yeGJTTXA5czlKM29kVzNkVGxSVlQwbTE1WGxNeEluRmVRNEdkRERadk1nVTA0Zmxjd1N4SkI0WmV5azZmMlY5UUJFa3ZOcWpTNV9wVngzSzR4RG5TWks5d0E9PQ==
"Oh my been watching this channel for years and see it's kaput now, what a bummer",r/wardocumentaries,Z0FBQUFBQm0yeGJTZFdSNlpYZ0xDQlN1YWVBMDlOLTNwQWt1cm05MkZvaGtLRkZwQ3ZYbzIzRVhRaFptaWk3a2lpMXh5cU43VGF3X3VvQTlVTjlFMjFBd1JKZVpfcXg1dlE9PQ==
Yeah...I don't know why. I wanted to watch something last night and when I saw what happened....no words......,r/wardocumentaries,Z0FBQUFBQm0yeGJTWl9zY2c1ZzVqOWYwdUU5X3hmejU5bUpwWldPOGtvMjU4a1BuV0Z2b1YtcDFnbmNZSk1YRGl0VmkzZDkxYzdZT1dvRThwMjNTSGUya3lIUUNzRzRmUWc9PQ==
Thank you!,r/wardocumentaries,Z0FBQUFBQm0yeGJTUThYdXRQUmR5N0dzTUNXblV6SlNKdWRETjFEZW4tYzg1czlFM1hwYk5oeU9zZEVUOFdBbkJ3SVVHLWlvNlNxY0p6RHE0Y0xwS0hVOWFsNV9yR1dDbWc9PQ==
"Hi, did you find it?",r/wardocumentaries,Z0FBQUFBQm0yeGJTNncwa1Z0S2tpdkh3R01uMGRoY3R0bXR6VXVVX1VyM0VkbnBhSUF2aFBYMW1MSkM3Q0FFRWhpYkVCSjdnbThma2FlSDRoOGg0aVBhOTJJUzJrS043blE9PQ==
Nope,r/wardocumentaries,Z0FBQUFBQm0yeGJTYXk0Xy14aUpPd3QyZGtMQ3JvczltdG15X1JoWVN0SjNsRnlLNFE2VDJxTVRJSl9Kc1poSXZiaWx0N1JENmkwQjYybndsY2paMnE0ZXBGSzlWVG42Q3c9PQ==
"Only the dead see the end of war, great documentary",r/wardocumentaries,Z0FBQUFBQm0yeGJjV0pWRHhPU19KYmF5dGRObjV1TFlsUHpjWE5uNEp5b1FBaU5VTGJzVWNzaU1mS2JIVXJPUUt6NmpQZTBjRnptRjJMc1c0dFN1SEszR2p0Qjh2OFpWTlB4MUNQajBMOG5kc2o1blhyUnVYN009
"Can't help you, I'm afraid, but I can recommend "" forrest of the Gods "" by Lithuanian writer Balys Suroga.  Here's a link to the movie on YouTube https://youtu.be/vtZusNil6fM?si=IFqIrYQK5iOhDzYT.",r/wardocumentaries,Z0FBQUFBQm0yeGJtMmd0azhKSkJJVXZYa2IyRUlHSUhOLU9adEptcmNPQTVrd0VLVHl1R0JUMFc5Y2I2ZXo3UlNXM3RHdjZ1RFFFY1pYTTd0TVBWYkhZZ1VvTzc1UDhkb0E9PQ==
"Omg, so sorry I somehow missed your reply. Thank you very much for the rec.",r/wardocumentaries,Z0FBQUFBQm0yeGJ4dUdyZlQyLXFDYWJUQzN5VDQyNWtQZ1dRUTFpZllnamFfeFJhRGpxX0VaUXJoMktBWGVraThNT2RuSzM1TnhHTmVQUWVvT19vMjVOSktQUkdPa2o0NE9McmRyNF9iS3VCejI0Mll1RmY4TXM9
No worries!!,r/wardocumentaries,Z0FBQUFBQm0yeGI1a3FsXzU3alpmUW9iYUJ0SUNDS3pYSUNoRC1oVlM3RC1QSHZialJ0X3BQZ01mSFNHcVQ0SXJoUzc1UG41N2ZzVUdjNXFwc1BXcXVodzBkR0Q0bE5WTGc9PQ==
"The documentary, ""The Longest Month"" covers the actions of 2 attack helicopter battalions in and around Baghdad in February 2007.  It's available on Amazon Prime, Tubi, Fubo and YouTube",r/wardocumentaries,Z0FBQUFBQm0yeGNaOW9iSWNQVUtRc1FydmRBNE9vWGxQcXp4Y3hobjYxbnlmeGhwVzlubmhJd21fT3pUZXZpOUpMSHNhcmpBblNuSVRQRkhuQzlhQl9teFd6Nm5oNVRjYnI0SUN6OTE2Vm05Wmg2SE9hZEFIcGM9
